Tibetan,English,Author
ལྗར་མན་གྱི་སྐད་ཡིག་ནང་དུ་ཕལ་ཆེར་(Aha)ཞིག་ཡིན་རྒྱུ་རེད།,"Maybe in Germany, in German language, it may be just ""Aha!""",ted2019
འདྲ་སྐུ་འདི་དཔྱད་གཞིར་བཟུང། da Vinciདང་ཐོབ་ཐང་དང་ གདོང་རིས་འདི་གསུམ་གཅིག་ཏུ་སྦྲེལ་བ་ཡིན་ན།,"The statue is the reference, and it connects the identity of Leonardo to those three faces.",ted2019
བྱང་རྒྱུད་དུ་རྒྱ་ནག་ལྕགས་རི་རིང་པོ་ཡོད།,"In the north, there was a great wall, Chang Cheng.",ted2019
དེ་བས། ང་ཚོས་ལོ་རེར་པར་མཚུངས་པ་རེ་བླངས་པ་ཡིན། ང་ཚོའི་མཐོང་སྣེ་འདྲ་ཡི་མ་རེད། བུ་མོ་མོ་རང་གི་ལམ་ལ་འཇུག་རྒྱུ་དང་། ངས་མོའི་མིག་ཟུང་ལས་་་མོས་ཅི་བྱེད་མིན། ཇི་ལྟར་བྱེད་མིན་ལ་བལྟས་པ་ཡིན།,"Because while we take the same photo, our perspectives change, and she reaches new milestones, and I get to see life through her eyes, and how she interacts with and sees everything.",ted2019
ངས་ལག་བརྡ་མྱུལ་ཞིབ་ཐུབ་པའི་མཐུད་ཁའི་སྒྲིག་ཆས་ཤིག་བཟོས་པ་ཡིན། བྱ་འགུལ་མྱུལ་ཞིབ་སྒྲིག་ཆས་ཤིག་དང་འདྲ་པོ་ཡོད།མ་གནས་ལ་ཨ་སྒོར་གཉིས་ལས་མི་དགོས།,What I got is basically a gesture-interface device that actually acts as a motion-sensing device made for two dollars.,ted2019
ཡིན་ཡང་། དྲ་དམངས་ཚོས་དྲ་རྒྱ་འགྲིམས་མ་ཐུབ་པས་་སྲང་ལམ་དུ་འཛོམས་པ་རེད།,"But once Netizens can't go online, they go in the street.",ted2019
དེ་རྐྱེན་གྱིས་ཁྱེད་ཅག་གིས་ང་རང་རྒྱུན་ལྡན་རེད་མ་ཟེར།,Please -- don't tell me I'm normal.,ted2019
དཔེར་ན། མཉམ་འཛོམས་དང་ཐུག་འཕྲད། སྤྲོ་འཆམ་ལྟ་བུའི་ཚིག་དག་འཁོད་ཚེ། རང་བཞིན་གྱིས་ཞིབ་འཇུག་བྱེད་ཀྱི་ཡོད་ལ། ཆབ་སྲིད་ཀྱི་གནད་དོན་ཡོད་མིན་ཞིབ་འཇུག་བྱེད་པར་གཏོང་གི་ཡོད།,"For example, anything you want to post, like ""get together"" or ""meet up"" or ""walk,"" it is automatically recorded and data mined and reported to a poll for further political analyzing.",ted2019
"ངའི་རེ་ཆད་ཀྱི་རྦ་འཁོར་ཁྲོད་དུ་ཡོད་པའི་ཁྱེད་ཀྱི་སེམས་ཤུགས་སྦར་བའི་ངག་ཤུབ་དག་གིས་ བློ་བདེ་བག་ཕེབས་ཀྱི་མཚོ་འགྲམ་དུ་བཟུང་ཞིང་འདེགས་བཞིན། བསྐྱར་དུ་འཚོ་བ་དང་བསྐྱུར་དུ་དུང་བའོ།""","Your encouraging whispers in my whirlpool of despair, holding me and heaving me to shores of sanity, to live again and to love again.""",ted2019
ཡིན་ནའང་ངས་ཁོ་གཉིས་ཀྱིས་ངར་ལབ་མྱོང་བའི སྒེར་ཚུགས་དང་འབྲེལ་འདྲིས། བྱམས་བརྩེ་སྐོར་གྱི་གཏམ་དེ་དག་དྲན་ཡོང་དུས། ཁོ་ཚོས་བཤད་པ་ནི་ རྒྱུན་ལྡན་གྱི་མི་ཞིག་གིས་བྱེད་མི་འདོད་པ་ཏག་ཏག་རེད།,"But I cast my mind back to the things that they've taught me about individuality and communication and love, and I realize that these are things that I wouldn't want to change with normality.",ted2019
ང་ཚོར་སྟོབས་ཤུགས་ཅན་དང་།སྤྱང་པོ། གདེང་ཚོད་ཅན་གྱི་བུད་མེད་གཞོན་སྐྱེས་ཚོས་ ཀྲོང་ངེར་ལངས་ཏེ་འགོ་འཁྲིད་མཁན་དགོས་ཀྱི་ཡོད།,"And we need strong, smart, confident young women to stand up and take the reins.",ted2019
ད་འོ་ན་ངས་གཟུཊ་དབྱིབས་འདི་འདྲ་ཞིག་གཏོར་ནས་་་ ཆ་འཕྲིན་རྣམས་ནམ་རྒྱུན་འཚོ་བའི་ནང་བཅུག་ན་གང་ཡོད། འདི་འདྲ་ཡིན་ན་ངས་བརྙན་རྒྱུ་དང་་་ འབྲེལ་བ་བྱ་ཆེད་ཀྱི་སྐད་གསར་ཞིག་སྦྱང་མི་དགོས།,"Why can I not remove this confine and take that to my everyday objects, everyday life so that I don't need to learn the new language for interacting with those pixels?",ted2019
གལ་ཏེ་ངའི་ཤག་རོགས་ཀྱིས་ངའི་གྲོགས་མོ་ཧྥོས་མས་འོན་ཏ་ཡི་སྐོར་ཤེས་ཡོད་ན། ཁོ་མོ་ནི་ལ་རྒོ་སེར་བརྙན་འཕྲིན་ལྟད་མོའི་ལས་རིམ་གཙོ་སྐྱོང་བྱེད་མཁན་བུད་མེད་འཇིགས་སྣང་མེད་པ་ཞིག་ཡིན། ང་ཚོས་བརྗེད་ན་འདོད་པའི་གཏམ་རྒྱུད་དག་བཤད་རྒྱུའི་ཆོད་སེམས་ཅན་ཞིག་ཡིན།,"Now, what if my roommate knew about my friend Funmi Iyanda, a fearless woman who hosts a TV show in Lagos, and is determined to tell the stories that we prefer to forget?",ted2019
འདིའི་རྒྱུ་མཚན་ནི། ལོ་རྒྱུས་ཀྱི་བྱུང་བ་བཀོད་པ་དག་ ད་ནི་ཆེས་མྱུར་མོས་ངང་གྲངས་རྩིས་ཅན་ཏུ་འགྱུར་གྱིན་ཡོད།,The reason for that is that the historical record is becoming digitized at a very fast pace.,ted2019
རྒྱ་ནག་མི་མང་གིས་མི་རྣམས་ལ་གྲོས་མོལ་དང་ ཁ་བརྡ་གང་འདྲ་བྱེད་དགོས་མིན་སློབ་ཀྱི་ཡོད།,Chinese people start to learn how to negotiate and talk to people.,ted2019
ང་ལ་སྐད་ཆ་ཁ་ཤས་འདྲི་འདོད་པ་ཤེས་ཡོང་གི་འདུག,They want to ask me something.,ted2019
དགོང་དྲོ་བདེ་ལེགས,Good evening!,Tatoeba-2020.08
འཆི་བ་ནི་འགོག་ཐབས་མེད་པའི་ཞེད་སྣང་ཆེན་པོ་ཞིག་ཡིན་ཀྱང་། ངས་དངོས་ཡོད་ཐོག་བཤད་འདོད་པ་ནི།མི་ཞིག་འཇིག་རྟེན་དང་བྲལ་རྗེས་སུ་ཤུལ་དུ་བཞག་པའི་ཤུལ་རྗས་ཀྱི་ང་རང་ཧང་སངས་བཅུག་སོང་བས།,"It's inevitable, terrible, but really what I want to talk about is, I'm just fascinated by the legacy people leave when they die.",ted2019
